Company,Code
OceanAlexander,8478
OK BIOTECH,4155
Top Bright,8499
"Tanvex BioPharma, Inc.",6541
CFC,6024
HS,2243
HY-KY,6573
COREMAX,4739
YHT,4562
AAEON,6579
RGH,4807
Shin Foong,6582
All Cosmos Bio-Tech Holding Corporation,4148
STRONG H,4560
ANDES,6533
jpp,5284
Transart,8481
Taisun,8480
JMC,6552
Castles,5258
T3EX,2636
Laster Tech,3346
Jiyuan Packaging Holdings Limited,8488
FDC,2748
CONCRAFT,4943
WW Holding Inc.,8442
M. J. International,8466
THSRC,2633
QVE,4438
COASTER,2936
Dyaco,1598
,3708
Lida Holdings Limited,4552
Anji,6477
MHH,2739
ANSTEK,3528
Headway,1776
"GEM Services, Inc.",6525
YC,2069
"Sunjuice Holdings Co., Ltd.",1256
Cayman Engley Industrial ,2239
MAP,4545
top MSO,6464
BONNY WORLDWIDE LIMITED,8467
UNIFLEX,3321
Richwave,4968
Jinan Acetate Chemical,4763
CHELIC,4555
Jourdeness Group Limited,4190
Yusin Holding Corp.,4557
TSEC,6443
"Apex International Co., Ltd.",4927
GLOBAL PMX,4551
Fiti,3413
Ezconn,6442
RTM,8463
TEX YEAR,4720
General Interface Solution,6456
Patec Precision Industry,2236
"Lemtech Holdings Co., Limited",4912
Pharmally International Holding Company Limited,6452
SF,8341
Aero Win,8222
ShunSin Technology,6451
WinMate,3416
BrightKing,6422
SUNTY,3266
ZENG HSING,1558
momo,8454
APAQ,6449
Kuangli Photoelectric Technology,6431
"Alchip Technologies, Limited",3661
Enterex International Limited,1592
Eurocharm,5288
Aso,8443
AIDC,2634
AOT,3437
T.Y.,1568
ChipMOS,8150
VOLTRONIC,6409
ENNOCONN,6414
Jih Lin,5285
KAORI?@,8996
LONG DA,5519
Green Seal Holding Limited,1262
Victory New Materials,1340
TOPBI International Holdings Limited,2929
LU HAI HOLDING CORP.,2115
X-LEGEND,4994
MBI,1783
Tong Ming,5538
TAISOL,3338
Silergy Corp.,6415
Pelican,2642
C.E.C,5259
FGH,2712
Chlitina Holding Limited,4137
"Eson Precision Ind. Co., Ltd.",5243
IRF,2228
PEC,4916
PCL Technologies,4977
SVBI,1786
Chicony Power,6412
SANITAR,1817
TALIANG,3167
TOPKEY,4536
Liontravel,2731
SanFar,9946
,3706
APT,3682
"DA-LI CO., LTD.",6177
Sinher,4999
NAN LIU,6504
Airmate,1626
Scientech,3583
Casetek Holdings Limited,5264
Jinli,8429
Hiroca Holdings Ltd.,1338
Mercuries Life,2867
KSECO,5521
Asmedia,5269
Sino Horizon Holdings Limited,2923
POSIFLEX,8114
CALIN,4976
Eastern Tech,5225
CHC,4164
Fulgent Sun,9802
Primax,4915
 QPC,4722
DAXIN,5234
Grand Ocean,5907
Delsolar,3599
ADIM,4142
Yeong Guan,1589
ROTAM,4141
Y.C.C.,1339
Chateau,2722
WOWPRIME,2727
KO JA,5215
Zhen Ding Technology Holding Limited,4958
LI CHENG,4426
CHAILEASE HOLDING COMPANY LIMITED,5871
"KEYSHEEN (CAYMAN) HOLDINGS CO., LIMITED",8427
TRADE-VAN,6183
CHENBRO,8210
,5880
,3149
Generalplus Technology Inc.,4952
Kingcan Holdings Limited,8411
Tainan Enterprise,5906
,4960
,4956
PHX TOUR,5706
Coland Holdings Limited,4144
,3645
,8422
,3679
Lextar,3698
Tycoons Worldwide Group (Thailand) Public Co.,911622
,1789
 TTCC,8011
,5007
CoAdna Holdings,4984
,3669
Asia Plastic Recycling Holding,1337
Tainergy,4934
GLT,4935
,3454
Chia Chang,4942
Regal,911619
PAIHO SHIH,8404
AzureWave,3694
SIM TECH,912000
BIZLINK,3665
CMC,3257
Du Kang,911616
FRMSL,4746
Y.S.H.,3705
TAI TWUN,3432
Systex,6214
AMT,8271
HYC,2114
G.M.I,3312
BIONIME,4737
CCSB,1762
AIRTAC,1590
WISDOM,2637
Gourmet ,2723
CUB,2231
BMC,8215
CTC,3550
TPK,3673
NTC,4919
CCI,6230
 TSMT,6278
Unizyx,3704
,3703
REC,2597
CHEER TIME,3229
 Abnova,4133
tpt,8213
CyberPower,3617
SCSC,3579
 SYNCMOLD,1582
TAIFLEX,8039
ENE,6243
APEC,8261
PESI,6152
JENTECH,3653
COXON,3607
CviLux,8103
Polytronics,6224
Leadtrend,3588
HIWIN,2049
TrendChip,3614
New Palace,8940
ACES,3605
YFO,3622
DYNAMIC,6251
logah,3593
Arcadyan,3596
SHINY,1773
NSP,3576
HAIKWANG,2038
APCB INC.,6108
GMT,8081
ACE PILLAR,8374
CSBC,2208
SEC,3561
ALLTEK,3209
Para Light,6226
LEDTECH,6164
PhytoHealth,4108
SHENMAO,3305
King Slide,2059
WELLYPOWER,3080
STI,3536
FOUNDING,5533
Ralink,3534
BESTEC,3308
GIAS,9958
Gamma,3557
Favite,3535
GET,3519
GOODWAY,1583
YEMCHIO,4306
Career Tech.,6153
COXOC,6205
SOE,6283
Topoint,8021
WHAYU,3419
ITEQ,6213
SDTI,9955
Aurotek,6215
Supreme,8112
NDB,3090
POWERTECH,3296
CHANG WAH,8070
SZS,3376
ENFIELD,4104
HiTi,3494
FST,3532
LOTES,3533
GPI,3383
SERCOMM,5388
FATC,8131
PT TECH.,3518
DARFON,8163
SSM,2062
THEIL,6271
ASROCK,3515
GINTECH,3514
WALTON,8110
BESTA,8201
GBM,6191
TPCC,4725
Well Shin,3501
DAVICOM,3094
Farglory,5522
Orisetech,3545
TT,8033
ROEC,6176
Young Optics,3504
GiantPlus,8105
GUC,3443
Nano-Op,6255
INNOLUX,3481
FORHOUSE,6120
KC,6155
ELASER,3450
N.P.C,8046
104 CORPORATION,3130
GENIUS,3406
E-LIFE MALL,6281
CSC,6005
WPG,3702
IAC,3367
Far EasTone,4904
AV TECH,8072
CREATIVE SENSOR INC.,8249
Geovision Inc.,3356
"DAH FUNG CATV CO.,LTD",6184
CHEERTEK INCORPORATION,3271
"SHINING BOILDING BUSINESS CO.,LTD",5531
KINIK COMPANY,1560
,6280
,2227
,3380
,5607
,5525
,3214
,5854
,6209
,6239
,4106
,6166
,6197
,8008
,3189
,5203
,6202
,6201
,6192
,6216
,6131
,6225
,6116
,4414
,3701
,6235
,6206
,3142
,5305
,6115
,6004
,8101
,6196
,6172
,5534
,6189
,6605
,3311
,4119
,6505
,8016
,8078
,1737
,6277
,6141
,6286
,5515
,6269
,6285
CCET,9105
,4526
,3063
,6282
,6289
,6139
,6133
,5469
,6145
,5484
,6168
,6136
,5471
,6117
,5608
,5434
,6012
,6132
,8926
,6257
,3231
,4532
,6112
,6119
,6142
,6165
,3062
,4906
,6128
,3060
,3061
,1541
,3056
,1477
,1736
,2892
,3016
,3059
,3057
MICL,9103
,3055
,3058
,3054
,3014
,3050
,3030
,1539
,3051
,3015
,3048
,3017
,3049
,3013
,2854
,2855
,2856
,3012
,3009
,3018
,3019
,3020
,3021
,3022
,9943
,2548
,3023
,3024
,3025
,1734
,3026
,3027
,3028
,1735
,1538
,3029
,3031
,3032
,3033
,3034
,3035
,9944
,3036
,3037
,3038
,3039
,3040
,3041
,1540
,3042
,3043
,3044
,3045
,3046
,3047
,3010
,3011
,2891
,2890
,3007
,2889
,2498
,2495
,3008
,2496
,3006
,3004
,3005
,2888
,2499
,3003
,2887
,2885
,2886
,2497
,2884
,9942
,2455
,2493
,3002
,1537
,3001
,2494
,2882
,2883
,2880
,2881
,2456
,2457
,2458
,2459
,2460
,2461
,2034
,1236
,2462
,1730
,9940
,1731
,2464
,2465
,2466
,2467
,1534
,2468
,1535
,2469
,9941
,1536
,1732
,2470
,1733
,2471
,2472
,2473
,2474
,2475
,2476
,2477
,2478
,2479
,2480
,2481
,2482
,2483
,2484
,2485
,2486
,2487
,2488
,2489
,2490
,2491
,2618
,2492
,2454
,2446
,2452
,2448
,2450
,2453
,2449
,2451
,1476
,2447
,1533
,2445
,1729
,9939
,9938
,2443
,5880